DATE,O,H,L,C,V
1991.02.04 00:00:00,2.5249,2.5404,2.5159,2.5319,4201
1991.02.05 00:00:00,2.5304,2.5629,2.5278,2.5627,3791
1991.02.06 00:00:00,2.5598,2.5721,2.5529,2.5677,3051
1991.02.07 00:00:00,2.5613,2.5667,2.5413,2.546,3551
1991.02.08 00:00:00,2.5491,2.5578,2.54,2.5483,3481
1991.02.11 00:00:00,2.5456,2.5679,2.543,2.5598,3561
1991.02.12 00:00:00,2.5608,2.5618,2.5422,2.5426,2101
1991.02.13 00:00:00,2.547,2.5496,2.5123,2.5204,4801
1991.02.14 00:00:00,2.5201,2.5261,2.509,2.5119,2601
1991.02.15 00:00:00,2.5155,2.5185,2.4924,2.4965,3321
1991.02.18 00:00:00,2.4942,2.5028,2.481,2.4825,3191
1991.02.19 00:00:00,2.4892,2.4909,2.4657,2.4721,3331
1991.02.20 00:00:00,2.4882,2.4905,2.4678,2.4767,3391
1991.02.21 00:00:00,2.4771,2.4918,2.4695,2.4815,4021
1991.02.22 00:00:00,2.4789,2.4991,2.471,2.4788,5611
1991.02.25 00:00:00,2.4704,2.4831,2.4534,2.4606,4961
1991.02.26 00:00:00,2.4678,2.4771,2.4374,2.4473,5891
1991.02.27 00:00:00,2.4481,2.4579,2.4384,2.4438,3471
1991.02.28 00:00:00,2.4411,2.4567,2.4273,2.4346,5231
1991.03.01 00:00:00,2.426,2.4327,2.4112,2.4117,2871
1991.03.04 00:00:00,2.4202,2.4476,2.4173,2.443,3781
1991.03.05 00:00:00,2.446,2.4714,2.446,2.4512,4561
1991.03.06 00:00:00,2.4536,2.4631,2.4414,2.4627,3431
1991.03.07 00:00:00,2.4561,2.4685,2.4483,2.4666,2991
1991.03.08 00:00:00,2.4616,2.4643,2.4257,2.4262,4181
1991.03.11 00:00:00,2.4285,2.4341,2.4026,2.4088,4331
1991.03.12 00:00:00,2.4151,2.4271,2.4094,2.4267,2381
1991.03.13 00:00:00,2.4267,2.435,2.416,2.4253,3661
1991.03.14 00:00:00,2.429,2.429,2.4057,2.4082,2581
1991.03.15 00:00:00,2.4019,2.4046,2.3589,2.3693,5881
1991.03.18 00:00:00,2.3661,2.3767,2.3235,2.3336,7391
1991.03.19 00:00:00,2.3296,2.3431,2.2718,2.3094,12241
1991.03.20 00:00:00,2.295,2.3238,2.2874,2.3222,4561
1991.03.21 00:00:00,2.316,2.3447,2.316,2.3271,4631
1991.03.22 00:00:00,2.3301,2.3427,2.3025,2.3061,5641
1991.03.25 00:00:00,2.3022,2.3106,2.267,2.2715,5651
1991.03.26 00:00:00,2.2699,2.2816,2.2586,2.2744,4151
1991.03.27 00:00:00,2.2715,2.2823,2.241,2.2533,6441
1991.03.28 00:00:00,2.2515,2.2543,2.2316,2.2456,3951
1991.04.01 00:00:00,2.2613,2.2613,2.2613,2.2613,1
