Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,LSTM_probability,LGBM_probability,SVC_probability,LASSO_probability,Avg_Probability,Direction,Actual_Price,Is_Correct
1d,2026-01-26 00:00,2026-01-27 00:00,1d,247.81,247.14,252.68,241.6,46.4%,53.9%,52.1%,28.4%,56.9%,DOWN ▼,,
1d,2026-01-26 00:00,2026-01-28 00:00,2d,247.81,247.36,254.69,240.02,44.6%,52.1%,54.8%,37.6%,53.3%,DOWN ▼,,
1d,2026-01-26 00:00,2026-02-02 00:00,7d,247.81,249.07,261.23,236.92,33.1%,55.3%,56.7%,78.2%,55.8%,UP ▲,,
1d,2026-01-26 00:00,2026-02-23 00:00,28d,247.81,244.7,270.12,219.29,50.9%,44.8%,50.0%,41.9%,57.0%,DOWN ▼,,
1d,2026-01-27 00:00,2026-01-28 00:00,1d,247.81,247.14,252.68,241.6,46.4%,53.9%,52.1%,28.4%,56.9%,DOWN ▼,,
1d,2026-01-27 00:00,2026-01-29 00:00,2d,247.81,247.36,254.69,240.02,44.6%,52.1%,54.8%,37.6%,53.3%,DOWN ▼,,
1d,2026-01-27 00:00,2026-02-03 00:00,7d,247.81,249.07,261.23,236.92,33.1%,55.3%,56.7%,78.2%,55.8%,UP ▲,,
1d,2026-01-27 00:00,2026-02-24 00:00,28d,247.81,244.7,270.12,219.29,50.9%,44.8%,50.0%,41.9%,57.0%,DOWN ▼,,
1d,2026-01-28 00:00,2026-01-29 00:00,1d,247.81,247.14,252.68,241.6,46.4%,53.9%,52.1%,28.4%,56.9%,DOWN ▼,,
1d,2026-01-28 00:00,2026-01-30 00:00,2d,247.81,247.36,254.69,240.02,44.6%,52.1%,54.8%,37.6%,53.3%,DOWN ▼,,
1d,2026-01-28 00:00,2026-02-04 00:00,7d,247.81,249.07,261.23,236.92,33.1%,55.3%,56.7%,78.2%,55.8%,UP ▲,,
1d,2026-01-28 00:00,2026-02-25 00:00,28d,247.81,244.7,270.12,219.29,50.9%,44.8%,50.0%,41.9%,57.0%,DOWN ▼,,
1d,2026-01-29 00:00,2026-01-30 00:00,1d,247.81,247.14,252.68,241.6,46.4%,53.9%,52.1%,28.4%,56.9%,DOWN ▼,,
1d,2026-01-29 00:00,2026-02-02 00:00,2d,247.81,247.36,254.69,240.02,44.6%,52.1%,54.8%,37.6%,53.3%,DOWN ▼,,
1d,2026-01-29 00:00,2026-02-05 00:00,7d,247.81,249.07,261.23,236.92,33.1%,55.3%,56.7%,78.2%,55.8%,UP ▲,,
1d,2026-01-29 00:00,2026-02-26 00:00,28d,247.81,244.7,270.12,219.29,50.9%,44.8%,50.0%,41.9%,57.0%,DOWN ▼,,
1d,2026-01-30 00:00,2026-02-02 00:00,1d,247.81,247.14,252.68,241.6,46.4%,53.9%,52.1%,28.4%,56.9%,DOWN ▼,,
1d,2026-01-30 00:00,2026-02-02 00:00,2d,247.81,247.36,254.69,240.02,44.6%,52.1%,54.8%,37.6%,53.3%,DOWN ▼,,
1d,2026-01-30 00:00,2026-02-06 00:00,7d,247.81,249.07,261.23,236.92,33.1%,55.3%,56.7%,78.2%,55.8%,UP ▲,,
1d,2026-01-30 00:00,2026-02-27 00:00,28d,247.81,244.7,270.12,219.29,50.9%,44.8%,50.0%,41.9%,57.0%,DOWN ▼,,
1d,2026-02-02 00:00,2026-02-03 00:00,1d,247.81,247.14,252.68,241.6,46.4%,53.9%,52.1%,28.4%,56.9%,DOWN ▼,,
1d,2026-02-02 00:00,2026-02-04 00:00,2d,247.81,247.36,254.69,240.02,44.6%,52.1%,54.8%,37.6%,53.3%,DOWN ▼,,
1d,2026-02-02 00:00,2026-02-09 00:00,7d,247.81,249.07,261.23,236.92,33.1%,55.3%,56.7%,78.2%,55.8%,UP ▲,,
1d,2026-02-02 00:00,2026-03-02 00:00,28d,247.81,244.7,270.12,219.29,50.9%,44.8%,50.0%,41.9%,57.0%,DOWN ▼,,
1d,2026-02-03 00:00,2026-02-04 00:00,1d,247.81,247.14,252.68,241.6,46.4%,53.9%,52.1%,28.4%,56.9%,DOWN ▼,,
1d,2026-02-03 00:00,2026-02-05 00:00,2d,247.81,247.36,254.69,240.02,44.6%,52.1%,54.8%,37.6%,53.3%,DOWN ▼,,
1d,2026-02-03 00:00,2026-02-10 00:00,7d,247.81,249.07,261.23,236.92,33.1%,55.3%,56.7%,78.2%,55.8%,UP ▲,,
1d,2026-02-03 00:00,2026-03-03 00:00,28d,247.81,244.7,270.12,219.29,50.9%,44.8%,50.0%,41.9%,57.0%,DOWN ▼,,
1d,2026-02-04 00:00,2026-02-05 00:00,1d,247.81,247.14,252.68,241.6,46.4%,53.9%,52.1%,28.4%,56.9%,DOWN ▼,,
1d,2026-02-04 00:00,2026-02-06 00:00,2d,247.81,247.36,254.69,240.02,44.6%,52.1%,54.8%,37.6%,53.3%,DOWN ▼,,
1d,2026-02-04 00:00,2026-02-11 00:00,7d,247.81,249.07,261.23,236.92,33.1%,55.3%,56.7%,78.2%,55.8%,UP ▲,,
1d,2026-02-04 00:00,2026-03-04 00:00,28d,247.81,244.7,270.12,219.29,50.9%,44.8%,50.0%,41.9%,57.0%,DOWN ▼,,
1d,2026-02-05 00:00,2026-02-06 00:00,1d,247.81,247.14,252.68,241.6,46.4%,53.9%,52.1%,28.4%,56.9%,DOWN ▼,,
1d,2026-02-05 00:00,2026-02-09 00:00,2d,247.81,247.36,254.69,240.02,44.6%,52.1%,54.8%,37.6%,53.3%,DOWN ▼,,
1d,2026-02-05 00:00,2026-02-12 00:00,7d,247.81,249.07,261.23,236.92,33.1%,55.3%,56.7%,78.2%,55.8%,UP ▲,,
1d,2026-02-05 00:00,2026-03-05 00:00,28d,247.81,244.7,270.12,219.29,50.9%,44.8%,50.0%,41.9%,57.0%,DOWN ▼,,
1d,2026-02-06 00:00,2026-02-09 00:00,1d,247.81,247.14,252.68,241.6,46.4%,53.9%,52.1%,28.4%,56.9%,DOWN ▼,,
1d,2026-02-06 00:00,2026-02-09 00:00,2d,247.81,247.36,254.69,240.02,44.6%,52.1%,54.8%,37.6%,53.3%,DOWN ▼,,
1d,2026-02-06 00:00,2026-02-13 00:00,7d,247.81,249.07,261.23,236.92,33.1%,55.3%,56.7%,78.2%,55.8%,UP ▲,,
1d,2026-02-06 00:00,2026-03-06 00:00,28d,247.81,244.7,270.12,219.29,50.9%,44.8%,50.0%,41.9%,57.0%,DOWN ▼,,
1d,2026-02-09 00:00,2026-02-10 00:00,1d,247.81,247.14,252.68,241.6,46.4%,53.9%,52.1%,28.4%,56.9%,DOWN ▼,,
1d,2026-02-09 00:00,2026-02-11 00:00,2d,247.81,247.36,254.69,240.02,44.6%,52.1%,54.8%,37.6%,53.3%,DOWN ▼,,
1d,2026-02-09 00:00,2026-02-17 00:00,7d,247.81,249.07,261.23,236.92,33.1%,55.3%,56.7%,78.2%,55.8%,UP ▲,,
1d,2026-02-09 00:00,2026-03-09 00:00,28d,247.81,244.7,270.12,219.29,50.9%,44.8%,50.0%,41.9%,57.0%,DOWN ▼,,
1d,2026-02-10 00:00,2026-02-11 00:00,1d,247.81,247.14,252.68,241.6,46.4%,53.9%,52.1%,28.4%,56.9%,DOWN ▼,,
1d,2026-02-10 00:00,2026-02-12 00:00,2d,247.81,247.36,254.69,240.02,44.6%,52.1%,54.8%,37.6%,53.3%,DOWN ▼,,
1d,2026-02-10 00:00,2026-02-17 00:00,7d,247.81,249.07,261.23,236.92,33.1%,55.3%,56.7%,78.2%,55.8%,UP ▲,,
1d,2026-02-10 00:00,2026-03-10 00:00,28d,247.81,244.7,270.12,219.29,50.9%,44.8%,50.0%,41.9%,57.0%,DOWN ▼,,
1d,2026-02-11 00:00,2026-02-12 00:00,1d,247.81,247.14,252.68,241.6,46.4%,53.9%,52.1%,28.4%,56.9%,DOWN ▼,,
1d,2026-02-11 00:00,2026-02-13 00:00,2d,247.81,247.36,254.69,240.02,44.6%,52.1%,54.8%,37.6%,53.3%,DOWN ▼,,
1d,2026-02-11 00:00,2026-02-18 00:00,7d,247.81,249.07,261.23,236.92,33.1%,55.3%,56.7%,78.2%,55.8%,UP ▲,,
1d,2026-02-11 00:00,2026-03-11 00:00,28d,247.81,244.7,270.12,219.29,50.9%,44.8%,50.0%,41.9%,57.0%,DOWN ▼,,
1d,2026-02-12 00:00,2026-02-13 00:00,1d,247.81,247.14,252.68,241.6,46.4%,53.9%,52.1%,28.4%,56.9%,DOWN ▼,,
1d,2026-02-12 00:00,2026-02-17 00:00,2d,247.81,247.36,254.69,240.02,44.6%,52.1%,54.8%,37.6%,53.3%,DOWN ▼,,
1d,2026-02-12 00:00,2026-02-19 00:00,7d,247.81,249.07,261.23,236.92,33.1%,55.3%,56.7%,78.2%,55.8%,UP ▲,,
1d,2026-02-12 00:00,2026-03-12 00:00,28d,247.81,244.7,270.12,219.29,50.9%,44.8%,50.0%,41.9%,57.0%,DOWN ▼,,
1d,2026-02-13 00:00,2026-02-17 00:00,1d,247.81,247.14,252.68,241.6,46.4%,53.9%,52.1%,28.4%,56.9%,DOWN ▼,,
