Interval,Open_Date,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Probability,Actual_Price,Is_Correct
1h,2026-03-12 12:30,2026-03-12 14:30,1h,184.05,183.34,185.69,180.99,DOWN ▼,71.7%,,
1h,2026-03-12 12:30,2026-03-12 15:30,2h,184.05,182.98,186.37,179.59,DOWN ▼,73.1%,,
1h,2026-03-12 12:30,2026-03-12 17:30,4h,184.05,181.22,187.33,175.12,DOWN ▼,93.1%,,
1h,2026-03-12 12:30,2026-03-13 14:30,25h,184.05,180.9,188.68,173.11,DOWN ▼,84.0%,,
1h,2026-03-12 16:30,2026-03-12 18:30,1h,183.76,183.75,185.49,182.0,DOWN ▼,50.4%,,
1h,2026-03-12 16:30,2026-03-12 19:30,2h,183.76,182.58,186.21,178.96,DOWN ▼,74.0%,,
1h,2026-03-12 16:30,2026-03-13 18:30,25h,183.76,181.63,188.65,174.62,DOWN ▼,71.7%,,
1d,2026-03-10 00:00,2026-03-11 00:00,1d,184.77,187.71,196.87,178.56,UP ▲,73.7%,,
1d,2026-03-10 00:00,2026-03-12 00:00,2d,184.77,185.6,195.2,175.99,UP ▲,54.7%,,
1d,2026-03-10 00:00,2026-03-17 00:00,7d,184.77,194.96,219.03,170.89,UP ▲,86.7%,,
1d,2026-03-10 00:00,2026-04-07 00:00,28d,184.77,205.41,233.12,177.69,UP ▲,86.3%,,
